Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
14/08/2015;4:00:00;19;2;8;3;63;271;1.2;0;0;936;17.1;0;0;0
14/08/2015;5:00:00;75;2;10;2;56;359;0.5;0;0;936;16.2;0;0;0
14/08/2015;6:00:00;26;2;16;2;52;148;0.8;0;0;936;15.5;0;0;0
14/08/2015;7:00:00;9;2;31;2;48;142;1.3;0;0;935;15.3;0;0;0
14/08/2015;8:00:00;11;2;52;5;34;212;1;0;0;936;14.1;0;0;0
14/08/2015;9:00:00;6;2;37;5;36;292;1.1;0;0;936;16.4;0;0;0
14/08/2015;10:00:00;23;2;24;4;41;289;1.4;0;0;936;18.4;0;0;0
14/08/2015;11:00:00;17;2;16;4;52;270;1.9;0;0;936;19.7;0;0;0
14/08/2015;12:00:00;30;2;13;3;53;293;1.9;0;0;936;21.1;0;0;0
14/08/2015;13:00:00;22;2;14;3;57;292;2;0;0;936;23;0;0;0
14/08/2015;14:00:00;17;2;14;3;60;267;2.5;0;0;935;24.7;0;0;0
14/08/2015;15:00:00;12;2;11;3;64;275;2.4;0;0;935;25.4;0;0;0
14/08/2015;16:00:00;8;2;9;2;65;273;2.4;0;0;935;26.2;0;0;0
14/08/2015;17:00:00;7;2;9;3;68;251;2;0;0;934;26.8;0;0;0
14/08/2015;18:00:00;11;2;11;3;72;313;2.2;0;0;933;27.3;0;0;0
14/08/2015;19:00:00;26;2;14;2;76;269;2.5;0;0;933;26.8;0;0;0
14/08/2015;20:00:00;11;2;13;3;80;227;3.7;0;0;933;24.8;0;0;0
14/08/2015;21:00:00;10;2;16;3;79;233;3.3;0;0;933;23.6;0;0;0
14/08/2015;22:00:00;15;2;18;2;75;250;2;0;0;934;22.4;0;0;0
14/08/2015;23:00:00;17;2;16;2;74;246;1.4;0;0;934;21.4;0;0;0
14/08/2015;0:00:00;4;2;11;2;78;268;1.6;0;0;934;20.6;0;0;0
15/08/2015;1:00:00;12;2;12;3;76;265;1.1;0;0;934;19.9;0;0;0
15/08/2015;2:00:00;17;2;10;2;74;295;0.9;0;0;933;19.7;0;0;0
15/08/2015;3:00:00;5;2;11;2;68;50;0.4;0;0;933;19.3;0;0;0
15/08/2015;4:00:00;14;2;15;2;65;320;0.6;0;0;933;19.2;0;0;0
