Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
22/09/2015;5:00:00;19;0;3;2;76;242;0.2;38.7;0;943;15.2
22/09/2015;6:00:00;15;0;4;2;73;224;0;37.5;0;943;14.1
22/09/2015;7:00:00;14;0;3;2;76;231;0.3;36.4;0;943;13.3
22/09/2015;8:00:00;14;0;12;2;71;233;0.2;35.1;0;943;12.5
22/09/2015;9:00:00;14;0;17;3;69;227;0.8;34.7;0;943;12.7
22/09/2015;10:00:00;17;0;20;2;68;227;0.4;27.4;0;943;15.3
22/09/2015;11:00:00;20;0;5;2;0;227;1.2;21;0;944;18.7
22/09/2015;12:00:00;18;0;4;0;61;230;1.8;14.9;0;943;21.5
22/09/2015;13:00:00;25;0;3;2;96;243;1.9;15.2;0;943;23.7
22/09/2015;14:00:00;25;0;2;2;102;251;2.3;13.5;0;943;25.9
22/09/2015;15:00:00;16;0;3;2;97;294;2.2;13.8;0;942;27.4
22/09/2015;16:00:00;14;0;2;2;97;283;3;14.8;0;942;27.6
22/09/2015;17:00:00;13;0;2;2;97;246;3.5;15.5;0;941;27.7
22/09/2015;18:00:00;15;0;2;2;90;269;2.8;17.9;0;941;27.3
22/09/2015;19:00:00;15;0;2;2;86;270;3.3;21.5;0;941;26.1
22/09/2015;20:00:00;13;0;2;2;91;254;3.1;24.2;0;941;24.6
22/09/2015;21:00:00;16;0;3;2;81;247;2.2;28.6;0;941;22
22/09/2015;22:00:00;15;0;6;2;73;218;1.2;33.6;0;941;19.5
22/09/2015;23:00:00;17;0;5;2;78;221;0.6;37.3;0;942;18.1
22/09/2015;0:00:00;19;0;3;2;78;221;0.5;39;0;942;16.8
24/09/2015;1:00:00;24;0;8;2;43;52;1.3;41.5;0;945;16.2
24/09/2015;2:00:00;24;0;7;2;39;43;0.9;45.5;0;945;14.9
24/09/2015;3:00:00;18;0;4;2;47;42;1;48;0;945;14.2
24/09/2015;4:00:00;13;0;3;2;51;71;0.2;50.9;0;945;13.5
24/09/2015;5:00:00;11;0;5;2;52;74;0;53;0;944;13
24/09/2015;6:00:00;9;0;6;2;50;74;0.3;54.2;0;944;12.8
24/09/2015;7:00:00;8;0;14;3;37;45;0;57.5;0;945;11.9
24/09/2015;8:00:00;9;0;20;4;32;44;0;59.3;0;945;11.4
24/09/2015;9:00:00;38;0;25;5;30;45;0.2;58.5;0;945;11.6
24/09/2015;10:00:00;24;0;17;6;38;40;0.3;53.9;0;946;13.3
24/09/2015;11:00:00;24;0;12;5;49;45;0.6;48.6;0;946;16.1
24/09/2015;12:00:00;18;0;8;3;64;59;0.2;42;0;946;19.1
24/09/2015;13:00:00;22;0;4;2;80;33;0.9;36.6;0;946;21.2
24/09/2015;14:00:00;24;0;3;2;88;17;0.4;32.6;0;946;22.9
24/09/2015;15:00:00;18;0;5;2;91;353;0.4;27.5;0;946;24.7
24/09/2015;16:00:00;16;0;3;2;96;329;0.5;23;0;945;26
24/09/2015;17:00:00;11;0;3;2;100;149;0.1;21.4;0;945;26.5
24/09/2015;18:00:00;10;0;5;2;100;89;0.3;19.2;0;944;26.4
24/09/2015;19:00:00;11;0;9;3;95;96;0.1;17.3;0;944;26.3
