Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
18/05/2015;20:00:00;0;0.1;3;97;7;86;0.1;20.0;70;1012;0.0
18/05/2015;21:00:00;0;0.4;9;85;10;110;0.2;18.8;73;1012;0.0
18/05/2015;23:00:00;0;0.4;14;76;13;108;0.2;18.1;68;1011;0.0
18/05/2015;0:00:00;0;0.3;6;91;14;108;0.2;18.4;57;1011;0.0
19/05/2015;1:00:00;1;0.3;5;91;14;108;0.2;17.9;56;1010;0.0
19/05/2015;3:00:00;0;0.3;3;92;9;108;0.2;17.9;54;1010;0.0
19/05/2015;4:00:00;0;0.4;2;100;9;109;0.2;18.3;51;1009;0.0
19/05/2015;5:00:00;0;0.2;1;107;20;106;0.2;19.1;47;1009;0.0
19/05/2015;6:00:00;0;0.7;13;93;11;91;0.1;21.3;42;1009;0.0
19/05/2015;7:00:00;2;40.7;83;22;37;42;0.2;23.3;42;1009;0.0
19/05/2015;8:00:00;1;14.9;70;46;45;45;0.2;24.5;36;1009;0.2
19/05/2015;9:00:00;1;6.5;44;68;27;45;0.2;25.5;33;1010;0.0
19/05/2015;10:00:00;3;2.2;24;81;20;45;0.3;25.0;39;1010;0.0
19/05/2015;11:00:00;2;1.6;20;90;46;46;0.4;24.3;41;1010;0.0
19/05/2015;12:00:00;3;1.3;14;98;22;43;0.4;25.6;36;1011;0.4
19/05/2015;13:00:00;2;1.1;11;98;31;45;0.5;23.5;48;1011;0.0
19/05/2015;14:00:00;2;1.5;13;93;31;44;0.5;23.7;51;1011;0.0
19/05/2015;15:00:00;2;1.1;13;89;28;43;0.5;22.6;52;1010;0.0
19/05/2015;16:00:00;2;1.1;13;89;20;48;0.5;21.7;54;1010;0.0
19/05/2015;17:00:00;1;0.7;14;84;27;44;0.3;21.0;59;1011;0.0
19/05/2015;18:00:00;1;0.4;14;81;26;51;0.4;19.8;65;1011;0.2
19/05/2015;19:00:00;1;0.4;13;71;29;63;0.5;17.8;78;1011;0.2
19/05/2015;20:00:00;0;0.4;8;74;22;54;0.5;17.8;74;1012;0.0
19/05/2015;21:00:00;0;0.2;6;71;12;65;0.3;17.8;72;1013;0.0
19/05/2015;22:00:00;0;0.3;6;64;19;75;0.2;17.7;73;1014;0.4
19/05/2015;23:00:00;0;0.2;5;61;15;80;0.3;16.6;82;1014;0.6
19/05/2015;0:00:00;0;0.3;3;56;20;94;0.2;15.9;88;1014;1.2
20/05/2015;1:00:00;0;0.2;3;56;8;83;0.2;15.6;91;1014;0.8
20/05/2015;2:00:00;0;0.5;2;63;11;78;0.2;15.0;93;1013;0.0
20/05/2015;3:00:00;0;0.4;3;56;18;93;0.1;15.2;94;1014;0.0
20/05/2015;4:00:00;0;0.5;3;62;17;83;0.1;15.2;94;1014;0.0
20/05/2015;5:00:00;0;0.3;6;63;20;71;0.2;14.9;93;1015;0.0
20/05/2015;6:00:00;0;0.4;11;63;24;74;0.4;15.1;84;1015;0.0
20/05/2015;7:00:00;0;0.8;13;68;22;60;0.4;16.2;70;1016;0.0
20/05/2015;8:00:00;0;1.1;10;78;19;62;0.5;17.0;64;1016;0.0
20/05/2015;9:00:00;0;1.4;10;81;24;44;0.5;19.0;56;1016;0.0
20/05/2015;10:00:00;0;1.5;10;85;20;44;0.5;19.5;54;1017;0.0
20/05/2015;11:00:00;1;0.8;12;83;13;49;0.3;18.3;57;1018;0.0
20/05/2015;12:00:00;1;0.8;9;85;11;47;0.3;18.9;54;1018;0.0
