Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;PM10;SO2;TOL
12/03/2015;null(null);0.11;null(null);4.3;22.0;28.0;37.0;35.0;4.1;null(null)
13/03/2015;null(null);0.1;null(null);1.8;5.8;8.5;79.0;9.5;4.2;null(null)
14/03/2015;null(null);0.12;null(null);7.6;19.0;30.0;57.0;13.0;4.0;null(null)
15/03/2015;null(null);0.13;null(null);1.8;11.0;14.0;65.0;17.0;4.0;null(null)
16/03/2015;null(null);0.11;null(null);15.0;34.0;57.0;45.0;24.0;4.0;null(null)
17/03/2015;null(null);0.11;null(null);20.0;39.0;69.0;40.0;27.0;4.0;null(null)
18/03/2015;null(null);0.11;null(null);2.2;11.0;15.0;80.0;18.0;4.0;null(null)
19/03/2015;null(null);0.13;null(null);2.3;11.0;15.0;73.0;24.0;2.8;null(null)
20/03/2015;null(null);0.1;null(null);1.9;10.0;13.0;86.0;31.0;1.0;null(null)
21/03/2015;null(null);0.11;null(null);1.9;10.0;13.0;73.0;9.5;1.0;null(null)
22/03/2015;null(null);0.12;null(null);1.9;8.1;11.0;76.0;18.0;1.0;null(null)
23/03/2015;null(null);0.11;null(null);2.2;7.6;11.0;72.0;5.5;1.0;null(null)
24/03/2015;null(null);0.1;null(null);1.9;5.2;7.8;81.0;10.0;1.0;null(null)
25/03/2015;null(null);0.11;null(null);2.0;6.5;9.8;76.0;7.2;1.0;null(null)
26/03/2015;null(null);0.15;null(null);2.0;5.9;9.2;63.0;4.4;1.0;null(null)
27/03/2015;null(null);0.12;null(null);2.5;8.0;12.0;60.0;6.7;1.0;null(null)
28/03/2015;null(null);0.1;null(null);1.9;3.8;6.5;62.0;5.5;1.0;null(null)
29/03/2015;null(null);0.1;null(null);1.8;4.3;6.8;67.0;11.0;1.3;null(null)
30/03/2015;null(null);0.1;null(null);4.3;11.0;18.0;59.0;13.0;1.1;null(null)
31/03/2015;null(null);0.11;null(null);2.4;8.1;12.0;61.0;7.5;1.3;null(null)
1/01/2015;null(null);0.12;null(null);24.0;43.0;80.0;14.0;14.0;4.9;null(null)
2/01/2015;null(null);0.11;null(null);52.0;49.0;129.0;5.7;23.0;5.0;null(null)
3/01/2015;null(null);0.1;null(null);3.5;16.0;21.0;32.0;9.2;4.6;null(null)
4/01/2015;null(null);0.1;null(null);3.8;19.0;25.0;31.0;7.6;4.6;null(null)
5/01/2015;null(null);0.1;null(null);15.0;22.0;45.0;32.0;5.9;5.0;null(null)
6/01/2015;null(null);0.16;null(null);3.5;17.0;22.0;50.0;5.6;5.0;null(null)
7/01/2015;null(null);0.12;null(null);9.3;27.0;42.0;21.0;10.0;4.8;null(null)
8/01/2015;null(null);0.11;null(null);4.9;24.0;31.0;34.0;12.0;4.5;null(null)
9/01/2015;null(null);0.1;null(null);4.0;25.0;31.0;21.0;14.0;3.3;null(null)
10/01/2015;null(null);0.1;null(null);1.7;15.0;18.0;29.0;11.0;1.1;null(null)
11/01/2015;null(null);0.11;null(null);5.2;20.0;28.0;37.0;10.0;1.0;null(null)
12/01/2015;null(null);0.1;null(null);11.0;20.0;37.0;30.0;8.1;1.1;null(null)
13/01/2015;null(null);0.11;null(null);1.8;8.6;11.0;63.0;4.0;1.1;null(null)
15/01/2015;null(null);null(null);0.0;null(null);null(null);null(null);null(null);null(null);null(null);null(null)
16/01/2015;null(null);0.1;null(null);13.0;25.0;46.0;47.0;10.0;1.0;null(null)
17/01/2015;null(null);0.11;null(null);26.0;28.0;67.0;39.0;3.0;1.0;null(null)
18/01/2015;null(null);0.11;null(null);24.0;27.0;63.0;44.0;2.6;1.0;null(null)
