Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;PRB;LL
12/06/2015;15:00:00;;0.1;3;8;79;142;1.1;25.0;1001;
12/06/2015;16:00:00;;0.1;5;8;85;116;0.7;26.0;1001;
12/06/2015;17:00:00;;0.7;10;11;89;132;0.3;26.0;1001;
12/06/2015;18:00:00;;0.8;11;9;88;93;0.4;26.1;1001;
12/06/2015;19:00:00;;0.2;7;9;91;118;0.4;24.7;1001;
12/06/2015;20:00:00;;0.3;7;12;88;117;0.1;23.4;1002;
12/06/2015;21:00:00;;0.0;3;14;69;112;0.0;22.4;1003;
12/06/2015;22:00:00;;0.4;10;21;53;111;0.0;21.2;1003;
12/06/2015;23:00:00;;0.2;8;25;46;107;0.0;20.5;1004;
12/06/2015;0:00:00;;0.0;4;34;31;107;0.0;19.5;1004;
13/06/2015;1:00:00;;0.0;4;50;26;107;0.0;19.0;1004;
13/06/2015;2:00:00;;0.0;5;49;18;107;0.0;18.5;1003;
13/06/2015;3:00:00;;0.0;5;56;21;185;0.0;18.4;1003;0.0
13/06/2015;4:00:00;;0.0;6;71;25;301;0.0;18.8;1002;0.0
13/06/2015;5:00:00;;0.0;4;50;11;301;0.0;18.4;1002;0.0
13/06/2015;6:00:00;;0.0;4;42;8;301;0.0;17.8;1002;0.0
13/06/2015;7:00:00;;1.2;6;54;9;301;0.0;18.7;1002;0.0
13/06/2015;8:00:00;;1.9;10;53;32;272;0.2;21.4;1003;0.0
13/06/2015;9:00:00;;3.3;14;28;49;247;0.4;24.0;1003;0.0
13/06/2015;10:00:00;;0.1;4;17;70;216;0.2;24.9;1003;0.0
13/06/2015;11:00:00;;0.6;4;15;73;177;0.5;26.0;1002;0.0
13/06/2015;12:00:00;;0.3;5;20;70;104;1.1;25.8;1002;0.0
13/06/2015;13:00:00;;0.1;3;22;72;101;1.3;26.5;1002;0.0
13/06/2015;14:00:00;;0.1;3;21;71;108;1.2;26.9;1002;0.0
13/06/2015;15:00:00;;0.1;3;22;65;118;0.9;25.1;1002;0.0
13/06/2015;16:00:00;;0.0;2;21;65;121;0.8;25.8;1001;0.0
13/06/2015;17:00:00;;0.0;2;23;61;116;0.5;26.8;1001;
13/06/2015;18:00:00;;0.7;5;26;53;220;0.5;24.1;1000;
13/06/2015;19:00:00;;0.3;4;;69;254;0.9;24.4;1000;
13/06/2015;20:00:00;;0.0;4;;73;247;1.1;23.2;1001;
13/06/2015;21:00:00;;0.0;4;13;65;278;0.3;21.6;1001;
13/06/2015;22:00:00;;0.0;5;20;55;286;0.2;20.2;1002;
13/06/2015;23:00:00;;0.2;6;24;34;317;0.0;19.6;1002;
13/06/2015;0:00:00;;0.5;9;24;25;317;0.0;18.9;1002;
14/06/2015;1:00:00;;0.1;5;28;38;317;0.1;18.5;1001;
14/06/2015;2:00:00;;0.4;5;20;18;316;0.0;18.0;1001;
14/06/2015;3:00:00;;0.3;5;21;19;316;0.0;17.5;1001;
14/06/2015;4:00:00;;0.6;4;18;12;316;0.0;17.3;1001;
14/06/2015;5:00:00;;0.3;5;22;20;316;0.0;17.3;1001;
14/06/2015;6:00:00;;0.3;4;18;17;331;0.0;17.0;1001;
14/06/2015;7:00:00;;1.7;6;33;15;351;0.0;17.5;1002;
14/06/2015;8:00:00;;0.2;4;30;45;299;0.2;20.4;1002;
14/06/2015;9:00:00;;0.1;2;9;65;177;0.3;24.0;1003;
14/06/2015;10:00:00;;0.2;3;6;73;159;0.4;25.6;1003;
14/06/2015;11:00:00;;0.5;6;10;74;126;0.3;26.3;1003;
14/06/2015;12:00:00;;0.3;5;18;64;191;0.5;25.1;1003;
14/06/2015;13:00:00;;0.5;4;42;49;206;0.5;22.9;1003;
14/06/2015;14:00:00;;0.1;2;62;56;162;0.7;21.9;1003;
14/06/2015;15:00:00;;0.1;2;21;57;104;0.6;23.6;1003;
14/06/2015;16:00:00;;0.1;3;8;62;83;0.5;23.5;1004;
14/06/2015;17:00:00;;0.0;3;6;71;87;0.4;24.3;1004;
14/06/2015;18:00:00;;0.0;3;7;69;79;0.4;24.4;1004;
14/06/2015;19:00:00;;0.1;5;10;66;77;0.3;23.5;1004;
14/06/2015;20:00:00;;0.2;6;16;58;208;0.1;22.7;1004;
14/06/2015;21:00:00;;0.1;7;7;75;194;0.1;21.9;1004;
14/06/2015;22:00:00;;0.1;6;;64;281;0.1;20.9;1004;
14/06/2015;23:00:00;;0.2;6;9;34;297;0.0;19.3;1005;
14/06/2015;0:00:00;;0.0;6;2;55;291;0.2;18.4;1005;
15/06/2015;1:00:00;;0.0;6;;61;288;0.2;18.0;1005;
15/06/2015;2:00:00;;0.0;6;;55;288;0.3;17.2;1005;
15/06/2015;3:00:00;;0.0;5;;57;269;0.2;17.1;1005;
15/06/2015;4:00:00;;0.0;5;;51;261;0.1;16.7;1005;
15/06/2015;5:00:00;;0.0;5;;48;261;0.0;16.5;1005;
15/06/2015;6:00:00;;0.0;5;;48;261;0.1;16.7;1005;
