Fecha;CO;NO;NO2;PM10;SO2
17/08/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;10;21;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;7
18/08/2015;0.2;11;24;17;7
19/08/2015;0.3;12;32;20;7
20/08/2015;0.3;12;33;17;8
21/08/2015;0.2;11;33;24;7
22/08/2015;0.3;4;13;27;4
23/08/2015;0.2;2;5;11;2
24/08/2015;0.2;6;10;8;3
25/08/2015;0.3;11;20;12;3
26/08/2015;0.2;10;16;15;3
27/08/2015;0.2;6;14;14;2
28/08/2015;0.2;15;26;14;2
29/08/2015;0.3;13;34;22;3
30/08/2015;0.3;4;21;30;3
31/08/2015;0.3;17;31;31;5
01/09/2015;0.2;11;23;12;3
02/09/2015;0.2;14;27;14;3
03/09/2015;0.2;15;23;10;3
04/09/2015;0.2;14;26;11;6
05/09/2015;0.3;8;18;11;2
06/09/2015;0.3;5;19;13;2
07/09/2015;0.3;15;31;16;3
08/09/2015;0.3;15;34;20;3
09/09/2015;0.3;19;40;23;4
10/09/2015;0.3;18;34;20;2
11/09/2015;0.4;18;30;22;3
12/09/2015;0.4;6;17;12;2
13/09/2015;0.3;4;9;8;1
14/09/2015;0.2;8;12;8;1
15/09/2015;0.3;9;20;8;1
16/09/2015;0.3;7;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
17/09/2015;0.2;10;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
18/09/2015;0.3;24;32;18;3
19/09/2015;0.3;15;31;20;1
20/09/2015;0.3;10;27;18;2
21/09/2015;0.4;22;31;23;4
22/09/2015;0.3;20;24;21;2
23/09/2015;0.3;20;33;19;2
24/09/2015;0.3;31;39;25;2
25/09/2015;0.2;23;43;22;2
26/09/2015;0.2;11;32;21;2
27/09/2015;0.2;7;25;19;2
28/09/2015;0.4;20;39;21;4
29/09/2015;0.5;27;49;26;5
30/09/2015;0.3;25;41;27;4
01/10/2015;0.4;21;38;26;4
02/10/2015;0.4;15;35;26;5
03/10/2015;0.4;13;31;28;4
04/10/2015;0.3;4;15;19;2
05/10/2015;0.2;3;7;15;1
06/10/2015;0.2;8;12;15;1
07/10/2015;0.3;27;35;20;3
08/10/2015;0.2;25;32;21;4
09/10/2015;0.1;38;41;27;4
10/10/2015;0.1;16;31;24;3
11/10/2015;0.1;6;23;17;3
12/10/2015;0.1;11;24;12;2
13/10/2015;0.1;28;37;21;4
14/10/2015;0.1;31;36;27;4
15/10/2015;0.1;30;36;29;4
16/10/2015;0.1;42;47;32;6
17/10/2015;0.1;13;33;28;6
18/10/2015;0.1;8;26;19;4
19/10/2015;0.1;13;27;15;3
20/10/2015;0.1;15;30;17;3
21/10/2015;0.1;32;43;23;3
22/10/2015;0.1;27;35;26;4
23/10/2015;0.4;40;45;31;6
24/10/2015;0.4;19;33;30;6
