Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
14/06/2015;19:00:00;0;-0.1;1;;142;2.9;23.4;85
14/06/2015;20:00:00;0;-0.1;2;;145;3.2;22.2;88
14/06/2015;21:00:00;0;-0.1;2;;147;2.2;21.1;86
14/06/2015;22:00:00;0;-0.1;0;;139;1.0;20.8;81
14/06/2015;23:00:00;0;-0.1;2;;159;0.3;19.6;68
14/06/2015;0:00:00;0;-0.1;7;;159;0.3;18.1;50
15/06/2015;1:00:00;0;-0.1;8;;192;0.5;16.7;35
15/06/2015;2:00:00;0;-0.1;9;;220;0.4;15.8;29
15/06/2015;3:00:00;0;-0.1;15;;248;0.6;15.6;29
15/06/2015;4:00:00;0;-0.1;7;;264;0.4;15.1;28
15/06/2015;5:00:00;0;-0.1;7;;276;0.7;15.0;21
15/06/2015;6:00:00;0;-0.1;9;;120;1.2;18.5;47
15/06/2015;7:00:00;0;-0.1;6;;103;1.5;21.0;58
15/06/2015;8:00:00;0;0.0;3;;147;1.7;23.5;69
15/06/2015;9:00:00;0;0.9;5;;137;1.9;24.9;67
15/06/2015;10:00:00;0;1.0;5;;137;2.2;26.5;72
15/06/2015;11:00:00;0;1.0;5;;139;2.3;27.3;75
15/06/2015;12:00:00;0;0.7;5;;137;2.7;27.3;78
15/06/2015;13:00:00;11;1.2;0;;131;2.7;27.2;87
15/06/2015;14:00:00;1;57.2;47;;126;2.9;26.8;39
15/06/2015;15:00:00;0;4.7;9;;119;2.9;26.7;69
15/06/2015;16:00:00;0;1.0;0;;115;3.4;25.8;75
15/06/2015;17:00:00;0;4.1;8;;108;2.9;25.7;68
15/06/2015;18:00:00;0;2.2;5;;127;2.1;25.7;70
15/06/2015;19:00:00;0;-0.1;0;;140;2.0;24.8;77
15/06/2015;20:00:00;0;-0.1;-2;;147;1.8;24.0;79
15/06/2015;21:00:00;0;-0.1;-2;;147;1.2;23.2;75
15/06/2015;22:00:00;0;-0.1;-2;;170;0.6;22.0;73
15/06/2015;23:00:00;0;-0.1;-2;;213;2.7;20.8;88
15/06/2015;0:00:00;0;-0.1;-2;;219;2.0;20.5;90
16/06/2015;1:00:00;0;-0.1;-1;;247;0.9;19.6;84
16/06/2015;2:00:00;-1;-0.1;0;;237;0.9;19.1;79
16/06/2015;3:00:00;0;-0.1;-1;;215;1.2;19.8;82
16/06/2015;4:00:00;-1;-0.1;-2;;242;1.8;19.5;86
16/06/2015;5:00:00;-1;-0.1;-2;;233;1.2;18.8;87
16/06/2015;6:00:00;-1;-0.1;-2;;230;0.4;18.5;81
16/06/2015;7:00:00;-1;0.0;2;;230;0.1;20.5;75
16/06/2015;8:00:00;-1;1.6;5;;235;0.8;22.6;78
16/06/2015;9:00:00;0;4.8;12;;212;1.7;23.0;78
16/06/2015;10:00:00;-1;1.5;1;;233;2.7;22.7;87
16/06/2015;11:00:00;0;4.4;9;;198;2.5;24.2;85
16/06/2015;12:00:00;-1;3.4;8;;202;2.4;22.1;84
16/06/2015;13:00:00;0;1.7;3;;206;2.0;23.0;89
16/06/2015;14:00:00;0;1.4;1;;209;2.1;23.7;89
16/06/2015;15:00:00;0;4.0;5;;215;2.3;24.2;85
16/06/2015;16:00:00;0;1.8;2;;227;2.3;24.2;91
16/06/2015;17:00:00;0;1.7;0;;277;2.0;23.4;94
16/06/2015;18:00:00;0;-0.1;-2;;113;2.0;22.2;95
16/06/2015;19:00:00;0;0.0;-2;;112;1.6;22.8;96
16/06/2015;20:00:00;-1;-0.1;-2;;111;1.5;21.7;95
16/06/2015;21:00:00;-1;0.4;20;;127;0.8;20.7;71
16/06/2015;22:00:00;0;-0.1;7;;166;0.5;19.5;68
16/06/2015;23:00:00;-1;-0.1;7;;200;0.3;17.7;50
16/06/2015;0:00:00;-1;-0.1;4;;234;1.1;16.6;46
17/06/2015;1:00:00;-1;-0.1;2;;263;0.7;16.2;54
17/06/2015;2:00:00;-1;-0.1;0;;264;0.5;15.9;56
17/06/2015;3:00:00;-1;-0.1;-1;;264;0.6;15.6;54
17/06/2015;4:00:00;-1;-0.1;0;;264;0.4;15.3;55
