Fecha;NO;NO2;O3;PM10;SO2
01/04/2015;1;10;43;17;2
02/04/2015;2;11;38;13;2
03/04/2015;2;10;33;10;2
04/04/2015;1;10;40;14;1
05/04/2015;1;11;40;10;2
06/04/2015;2;8;43;17;2
07/04/2015;2;7;51;23;2
08/04/2015;1;8;56;26;1
09/04/2015;2;13;44;16;1
10/04/2015;2;10;39;13;3
11/04/2015;2;8;35;12;3
12/04/2015;1;7;48;35;3
13/04/2015;1;6;55;45;3
14/04/2015;1;7;56;49;2
15/04/2015;1;12;47;34;2
16/04/2015;1;6;42;13;1
17/04/2015;1;9;43;26;2
18/04/2015;1;6;46;14;1
19/04/2015;1;6;45;10;2
20/04/2015;3;13;41;13;2
21/04/2015;1;10;53;17;2
22/04/2015;1;9;49;23;2
23/04/2015;1;11;42;15;1
24/04/2015;2;11;41;17;1
25/04/2015;1;7;39;12;1
26/04/2015;1;5;44;11;1
27/04/2015;1;4;46;14;1
28/04/2015;1;7;40;12;2
29/04/2015;1;6;53;14;1
30/04/2015;2;9;58;13;1
01/05/2015;1;8;45;11;1
02/05/2015;2;8;38;11;1
03/05/2015;1;9;60;14;3
04/05/2015;1;5;73;20;2
05/05/2015;1;4;80;8;1
06/05/2015;1;7;79;13;1
07/05/2015;1;8;86;18;1
08/05/2015;1;6;74;17;1
09/05/2015;1;8;66;13;1
10/05/2015;1;11;83;19;1
11/05/2015;1;10;93;25;2
12/05/2015;1;15;79;32;1
13/05/2015;2;14;43;68;1
14/05/2015;1;8;76;34;1
15/05/2015;1;5;68;20;1
16/05/2015;1;4;60;18;1
17/05/2015;1;6;51;19;1
18/05/2015;2;10;55;21;2
19/05/2015;1;5;53;19;1
20/05/2015;1;5;61;17;1
21/05/2015;1;4;61;18;2
22/05/2015;1;4;59;21;1
23/05/2015;1;4;52;19;2
24/05/2015;1;4;47;18;1
25/05/2015;2;7;47;16;2
26/05/2015;1;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;58;21;2
27/05/2015;1;;77;16;1
28/05/2015;3;;77;21;2
29/05/2015;1;;75;25;3
30/05/2015;1;;74;16;2
31/05/2015;1;;72;17;1
01/06/2015;1;;79;17;1
02/06/2015;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;67;15;1
03/06/2015;11;12;47;24;2
04/06/2015;11;8;59;26;2
05/06/2015;11;8;58;28;3
06/06/2015;11;8;55;21;2
07/06/2015;11;7;58;21;1
08/06/2015;7;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;20;1
09/06/2015;2;12;;25;1
10/06/2015;2;7;;25;1
11/06/2015;2;9;;19;1
12/06/2015;3;8;;16;1
13/06/2015;3;6;;16;2
14/06/2015;3;7;;11;1
15/06/2015;3;6;;9;2
16/06/2015;3;6;;13;2
17/06/2015;3;6;;16;2
18/06/2015;4;9;;17;2
19/06/2015;4;9;;18;2
20/06/2015;3;10;;12;2
21/06/2015;3;12;;16;2
22/06/2015;5;12;;24;1
23/06/2015;4;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;21;2
24/06/2015;5;12;78;17;3
25/06/2015;4;11;81;15;2
26/06/2015;5;13;85;21;3
27/06/2015;5;14;83;23;3
28/06/2015;4;13;82;21;1
29/06/2015;5;16;83;27;1
30/06/2015;4;13;90;36;1
01/07/2015;4;8;93;29;1
02/07/2015;5;9;63;18;2
03/07/2015;4;10;82;28;3
04/07/2015;4;11;77;29;2
05/07/2015;4;12;69;28;1
06/07/2015;5;13;69;38;1
07/07/2015;4;11;69;43;1
08/07/2015;5;9;79;28;1
09/07/2015;5;14;81;33;1
