Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
11/03/2015;0.17;1.5;11.0;13.0;71.0;28.0;5.0
12/03/2015;0.16;3.7;15.0;21.0;45.0;48.0;4.8
13/03/2015;0.12;1.9;10.0;13.0;69.0;19.0;3.2
14/03/2015;0.12;1.4;7.1;8.7;74.0;16.0;3.6
15/03/2015;0.13;1.5;8.5;10.0;66.0;18.0;2.8
16/03/2015;0.21;4.0;17.0;22.0;52.0;27.0;5.0
17/03/2015;0.25;5.0;22.0;29.0;52.0;31.0;4.5
18/03/2015;0.25;8.5;22.0;34.0;45.0;27.0;5.3
19/03/2015;0.18;3.0;14.0;19.0;63.0;19.0;2.7
20/03/2015;0.18;1.5;9.0;11.0;76.0;25.0;1.7
21/03/2015;0.18;1.5;9.8;12.0;74.0;18.0;3.6
22/03/2015;0.15;1.1;6.8;7.9;73.0;17.0;3.3
23/03/2015;0.13;2.0;8.4;11.0;69.0;18.0;4.4
24/03/2015;0.12;1.6;7.1;9.2;77.0;20.0;4.3
25/03/2015;0.12;1.7;6.8;9.0;72.0;17.0;5.0
26/03/2015;0.17;3.9;13.0;18.0;51.0;16.0;4.7
27/03/2015;0.14;2.2;11.0;14.0;54.0;19.0;4.3
28/03/2015;0.12;1.1;6.9;8.0;58.0;17.0;2.0
29/03/2015;0.14;1.0;8.0;9.0;59.0;16.0;1.8
30/03/2015;0.13;2.3;9.3;12.0;56.0;15.0;3.2
31/03/2015;0.12;1.7;10.0;12.0;53.0;17.0;4.2
1/02/2015;0.2;2.6;15.0;19.0;46.0;19.0;5.1
2/02/2015;0.13;1.0;3.5;4.5;72.0;17.0;2.4
3/02/2015;0.12;1.3;6.8;8.1;72.0;18.0;2.9
4/02/2015;0.21;12.0;20.0;38.0;46.0;17.0;4.6
5/02/2015;0.25;14.0;22.0;44.0;34.0;20.0;5.4
6/02/2015;0.25;8.1;18.0;31.0;33.0;18.0;3.3
7/02/2015;0.22;4.1;14.0;20.0;39.0;20.0;4.2
8/02/2015;0.24;2.5;13.0;17.0;42.0;21.0;2.9
9/02/2015;0.29;14.0;25.0;45.0;35.0;23.0;5.6
10/02/2015;0.37;18.0;32.0;60.0;30.0;26.0;3.0
11/02/2015;0.43;19.0;33.0;62.0;23.0;35.0;3.4
12/02/2015;0.37;8.9;26.0;40.0;31.0;29.0;1.3
13/02/2015;0.22;3.5;19.0;24.0;58.0;22.0;1.9
14/02/2015;0.14;1.7;8.6;11.0;70.0;20.0;3.2
15/02/2015;0.13;1.3;6.1;7.3;69.0;19.0;3.3
16/02/2015;0.17;4.5;15.0;22.0;51.0;19.0;4.6
17/02/2015;0.13;2.4;12.0;15.0;61.0;18.0;3.6
18/02/2015;0.21;8.4;22.0;35.0;39.0;19.0;4.4
19/02/2015;0.34;16.0;29.0;54.0;28.0;28.0;4.5
20/02/2015;0.29;8.0;24.0;36.0;33.0;22.0;1.6
21/02/2015;0.12;1.3;5.5;6.8;74.0;16.0;2.8
22/02/2015;0.22;1.9;16.0;18.0;38.0;20.0;4.1
23/02/2015;0.11;1.1;4.9;6.2;73.0;18.0;2.9
24/02/2015;0.15;3.5;13.0;17.0;58.0;23.0;3.8
25/02/2015;0.13;1.3;8.6;10.0;55.0;21.0;3.1
26/02/2015;0.14;2.2;13.0;15.0;66.0;16.0;2.8
27/02/2015;0.14;4.3;13.0;19.0;77.0;20.0;4.5
28/02/2015;0.17;2.3;14.0;17.0;51.0;17.0;4.4
