Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
29/06/2015;8:00:00;2;5;2;68;48;0.7;46.3;0;942;21.4
29/06/2015;9:00:00;2;5;2;70;47;0.5;41.5;0;942;23.5
29/06/2015;10:00:00;2;3;2;87;46;0.6;33.6;0;943;26.6
29/06/2015;11:00:00;2;3;2;106;29;0.3;25.9;0;943;29.8
29/06/2015;12:00:00;7;31;5;91;185;0.4;20.3;0;942;32.9
29/06/2015;13:00:00;12;28;5;113;244;0.8;16.7;0;942;35.3
29/06/2015;14:00:00;7;2;2;142;275;1.4;14.1;0;942;37
29/06/2015;15:00:00;4;2;2;143;230;1.3;11.6;0;941;38.2
29/06/2015;16:00:00;3;2;2;155;251;1.9;10;0;940;39.2
29/06/2015;17:00:00;3;2;2;165;338;1.5;9.5;0;940;39
29/06/2015;18:00:00;3;2;2;166;315;1.1;8.1;0;940;39.8
29/06/2015;19:00:00;3;2;2;154;250;1.8;7.2;0;939;39.3
29/06/2015;20:00:00;3;3;2;160;294;1.4;8;0;939;38.8
29/06/2015;21:00:00;3;15;2;141;335;0.5;10.2;0;939;37.3
29/06/2015;22:00:00;3;52;2;77;352;0;14.9;0;938;34.3
29/06/2015;23:00:00;4;93;8;22;4;0;18.1;0;939;31.9
29/06/2015;0:00:00;12;61;5;53;168;2.5;17.6;0;939;32
30/06/2015;1:00:00;0;32;3;82;158;2.2;20;0;939;31.5
30/06/2015;2:00:00;0;23;3;92;160;1.8;22.2;0;939;30
30/06/2015;3:00:00;0;17;2;90;289;1.1;23.1;0;939;29
30/06/2015;4:00:00;0;2;2;113;117;1.4;26.8;0;939;28.3
30/06/2015;5:00:00;0;4;2;98;112;0.6;30.9;0;939;26.8
30/06/2015;6:00:00;0;3;2;79;45;0.1;33.9;0;939;24.6
30/06/2015;7:00:00;0;10;2;63;59;0.1;38;0;939;22.8
30/06/2015;8:00:00;0;27;4;44;33;0.3;39.8;0;940;23
30/06/2015;9:00:00;0;23;2;57;53;0.2;34.7;0;940;25.4
30/06/2015;10:00:00;0;10;2;84;46;0.4;30.3;0;940;27.4
30/06/2015;11:00:00;0;5;2;103;179;0.4;24.8;0;940;30
30/06/2015;12:00:00;0;0;0;0;280;1;19.8;0;940;32.6
30/06/2015;13:00:00;0;3;2;130;195;1.7;17.6;0;939;34.4
30/06/2015;14:00:00;0;2;2;134;201;1.6;15;0;939;35.6
30/06/2015;15:00:00;0;7;3;126;176;2.5;12.4;0;939;36.5
30/06/2015;16:00:00;0;9;4;125;199;2.5;10.3;0;938;37.5
30/06/2015;17:00:00;0;3;3;123;204;3.3;7.4;0;937;38.1
30/06/2015;18:00:00;0;2;2;132;219;2.9;8;0;936;38.1
30/06/2015;19:00:00;0;3;2;129;200;3;8.3;0;936;38
30/06/2015;20:00:00;0;7;2;123;188;3;8.4;0;935;37.7
30/06/2015;21:00:00;0;6;2;112;223;2.6;7.5;0;935;37.3
30/06/2015;22:00:00;0;7;2;110;244;2.1;8.7;0;935;35.2
30/06/2015;23:00:00;0;33;2;75;217;1.5;10.5;0;936;33.3
30/06/2015;0:00:00;0;15;3;101;202;1.7;10.3;0;937;32.5
07/04/2015;1:00:00;8.75;5.5;1;75.5;140;0.4;54.725;0;943;11.75
07/04/2015;2:00:00;5;5;1;82.25;160;0.5;55.575;0;943.25;11.4
07/04/2015;3:00:00;4;4;1;79;120;0.4;56.8;0;944;11.025
07/04/2015;4:00:00;4;7.75;1;82.5;135;0.2;59.8;0;943.25;10
07/04/2015;5:00:00;4;18;1;64.5;113;0;62.825;0;943.5;9.375
07/04/2015;6:00:00;4.25;27.25;1.75;45.75;8;0.1;67.225;0;944;8.35
07/04/2015;7:00:00;4;43.25;4.5;26.75;25;0.1;70.3;0;944;7.85
07/04/2015;8:00:00;4;46.75;15.75;12.25;27;0.1;76.7;0;944;6.5
07/04/2015;9:00:00;5.5;31.25;15.25;13.25;47;0.3;79.275;0;945;6.275
07/04/2015;10:00:00;5.25;15.25;5.75;34;46;0.3;70.875;0;945.25;8.875
07/04/2015;11:00:00;5.5;8.25;3.75;51.5;67;0.3;62.575;0;946;11.2
07/04/2015;12:00:00;4.75;17.5;6.75;66.5;105;1;53.35;0;946;13.175
07/04/2015;13:00:00;9.75;17.75;6.25;77.75;180;2.3;29.1;0;945;14.8
07/04/2015;14:00:00;9.5;12.75;5;86.75;155;2.5;23.15;0;945;15.925
07/04/2015;15:00:00;5.5;10.75;3.75;96.25;137;1.7;20.65;0;945;17.4
07/04/2015;16:00:00;8.75;13.25;4.5;94.5;161;1.8;19.525;0;944.75;18.525
07/04/2015;17:00:00;9.5;9.25;4.5;90.75;159;1.7;18.225;0;944;19.075
07/04/2015;18:00:00;9;22.75;7.75;86.5;183;2.8;27.15;0;944;17.675
07/04/2015;19:00:00;5;17;5.5;97;200;2.8;30.425;0;944.25;16.675
07/04/2015;20:00:00;3;12.5;3;98.25;199;2.7;34.6;0;945;15.2
07/04/2015;21:00:00;3.5;12.5;3.25;97.5;202;2;39.4;0;945.75;13.15
07/04/2015;22:00:00;12.25;29;6.25;79.25;183;2.4;44.35;0;946.75;11.3
07/04/2015;23:00:00;8.25;22.25;3;82.25;210;1;47.425;0;948;10.05
07/04/2015;0:00:00;8.75;16;2.25;90.5;156;0.9;47.075;0;948.75;9.325
08/04/2015;1:00:00;6;8.25;2.25;98.25;138;1;47.35;0;949;8.475
08/04/2015;2:00:00;3.75;2.75;2;104.25;131;1.1;49.625;0;949;7.65
08/04/2015;3:00:00;5.25;6;2;99.5;135;0.8;51.4;0;949;6.975
08/04/2015;4:00:00;4.25;7.5;2;96.5;42;0.2;54.2;0;949;6.35
08/04/2015;5:00:00;3.75;6.25;2;97.25;37;0.3;55.375;0;948.5;5.8
08/04/2015;6:00:00;4;11.5;2.25;85.25;37;0.2;57.55;0;948;5.325
08/04/2015;7:00:00;4.5;19.5;3.75;53.5;45;0.5;68.175;0;948;3.5
08/04/2015;8:00:00;4.25;19.75;4;50.75;41;0.7;70.375;0;948.5;3.275
08/04/2015;9:00:00;4.75;35.25;8.75;41;45;0.4;66.925;0;949;4.05
08/04/2015;10:00:00;5;34.25;10.75;51.5;43;0.3;56.7;0;949;6.5
08/04/2015;11:00:00;5.5;14.75;5.25;78.75;48;0.6;46.425;0;949;8.975
08/04/2015;12:00:00;4.75;12;4.5;97;140;0.8;29.25;0;949;11.325
08/04/2015;13:00:00;3.75;3.75;2.25;108.25;110;1;20.075;0;948;13.225
08/04/2015;14:00:00;4.25;6.25;2.5;109.75;136;1.4;16.55;0;947.25;14.6
08/04/2015;15:00:00;5;6.75;3.5;110.5;158;1.5;16.425;0;946.25;15.85
08/04/2015;16:00:00;7.75;9.5;3.75;110;137;1.5;15.75;0;945.75;17.375
08/04/2015;17:00:00;6.75;13.5;4.5;108.5;146;1.9;15.9;0;945;18.15
08/04/2015;18:00:00;14.25;23.5;6.25;101.25;157;1.8;17.325;0;944.25;17.825
08/04/2015;19:00:00;14.25;24.25;6;103.25;181;2.3;19.025;0;944;17.75
08/04/2015;20:00:00;27;48;12.75;81.25;184;3;25.525;0;944;15.65
08/04/2015;21:00:00;19.75;38.75;8;84.5;188;2.9;31.425;0;945;13.7
08/04/2015;22:00:00;25.25;51;6.25;71.5;162;1.9;34.925;0;945.25;12.45
08/04/2015;23:00:00;12;13.5;2;101.5;165;1.3;42.475;0;945.75;11.325
08/04/2015;0:00:00;5.25;4.5;2;110.25;68;0.5;37.525;0;946;11.05
09/04/2015;1:00:00;5.75;4.5;2;107.25;263;0.4;35.525;0;946;10.825
09/04/2015;2:00:00;4.25;4;2;104.5;134;0.3;36.225;0;946;10.625
09/04/2015;3:00:00;4;5.75;2;98.5;114;0.3;38.175;0;946;10.175
09/04/2015;4:00:00;3.5;12.5;2;83.5;70;0;42.575;0;946;9.2
09/04/2015;5:00:00;3.5;8.5;2;83;125;0.3;42.525;0;946;7.675
09/04/2015;6:00:00;3.75;23.25;2.75;58.25;115;0.1;46.05;0;946;6.975
09/04/2015;7:00:00;4.25;66;12.75;13.5;114;0.1;52.975;0;945.75;5.875
09/04/2015;8:00:00;5.25;58.5;9.5;16.25;22;0.1;55.75;0;946;5.875
09/04/2015;9:00:00;6.25;71.75;42;10.25;184;0;54.7;0;946.5;6.575
09/04/2015;10:00:00;8;77.75;51.5;4.25;21;0;57.75;1.48;947;7.075
09/04/2015;11:00:00;7.25;41.75;6.25;51.75;1;0.1;74.65;3.7;947.75;5.5
09/04/2015;12:00:00;5.5;44.5;5.75;46.5;179;0.2;83.225;0.74;948;5.175
09/04/2015;13:00:00;4.25;30.25;4.25;59.25;20;0.2;80.325;0.74;948;5.65
09/04/2015;14:00:00;4;26.75;5;66.75;21;0.3;82.575;2.22;948;5.425
09/04/2015;15:00:00;4;30;5.5;62.5;40;0.2;87.975;1.11;947.5;5.8
09/04/2015;16:00:00;4;16;3.25;79.25;27;0.5;83.075;0.37;947;6.75
