Fecha;Hora;SO2;NO;NO2;PM10;O3;dd;vv;TMP;PRB
19/03/2015;13:00:00;0;0.4;0;16;100;124;3.7;15.7;1016
19/03/2015;14:00:00;0;0.2;0;17;95;119;3.3;16.3;1016
19/03/2015;15:00:00;0;0.0;0;19;99;113;3.7;16.1;1015
19/03/2015;16:00:00;0;0.1;1;20;100;115;4.2;16.2;1014
19/03/2015;17:00:00;0;0.0;0;20;102;119;4.9;16.3;1014
19/03/2015;18:00:00;0;0.0;0;20;106;119;4.8;15.2;1014
19/03/2015;19:00:00;0;0.4;2;23;102;100;2.3;14.7;1014
19/03/2015;20:00:00;0;1.0;0;25;94;95;1.6;14.2;1015
19/03/2015;21:00:00;0;1.2;0;22;94;82;2.4;13.8;1015
19/03/2015;22:00:00;0;1.4;0;21;96;83;1.8;13.6;1015
19/03/2015;23:00:00;0;1.2;0;18;97;95;3.5;13.6;1015
19/03/2015;0:00:00;0;1.3;0;18;99;99;3.1;13.7;1014
20/03/2015;1:00:00;0;1.4;0;22;100;101;3.7;13.7;1014
20/03/2015;2:00:00;0;1.0;0;24;103;103;4.0;13.8;1014
20/03/2015;3:00:00;0;1.0;0;22;103;106;1.4;13.8;1013
20/03/2015;4:00:00;0;1.0;0;22;105;94;2.9;13.7;1012
20/03/2015;5:00:00;0;1.0;0;25;103;146;2.9;13.7;1012
20/03/2015;6:00:00;0;1.6;5;27;98;126;4.2;13.7;1012
20/03/2015;7:00:00;0;1.0;0;26;108;119;7.0;14.0;1012
20/03/2015;8:00:00;0;1.0;0;25;106;108;5.9;14.0;1012
20/03/2015;9:00:00;0;1.0;0;24;104;99;2.6;14.2;1012
20/03/2015;10:00:00;0;1.0;0;26;99;92;2.4;14.2;1012
20/03/2015;11:00:00;0;1.1;1;32;103;107;3.2;14.3;1012
20/03/2015;12:00:00;0;1.1;0;36;105;115;2.8;14.7;1011
20/03/2015;13:00:00;0;1.0;0;39;104;107;3.9;14.5;1012
20/03/2015;14:00:00;0;1.0;0;35;101;103;5.2;14.4;1010
20/03/2015;15:00:00;0;1.0;0;34;99;99;4.3;14.2;1009
20/03/2015;16:00:00;0;0.9;0;41;97;113;5.4;14.2;1009
20/03/2015;17:00:00;0;1.0;0;38;93;97;4.3;13.9;1008
20/03/2015;18:00:00;0;1.0;0;37;94;109;7.1;14.1;1008
20/03/2015;19:00:00;0;0.9;1;42;95;117;9.4;14.2;1008
20/03/2015;20:00:00;0;0.9;0;43;93;107;5.7;14.1;1007
20/03/2015;21:00:00;0;0.9;0;44;92;148;6.5;14.6;1009
20/03/2015;22:00:00;0;1.0;1;41;85;94;2.5;13.6;1009
20/03/2015;23:00:00;0;1.0;0;38;87;91;2.6;13.5;1009
20/03/2015;0:00:00;0;0.9;0;44;90;120;5.8;13.7;1009
21/03/2015;1:00:00;0;0.9;0;43;89;107;4.2;13.6;1008
21/03/2015;2:00:00;0;1.2;0;39;90;117;6.9;13.5;1007
21/03/2015;3:00:00;0;1.3;0;40;90;125;8.9;13.5;1007
21/03/2015;4:00:00;0;1.8;0;46;89;127;7.8;13.5;1006
21/03/2015;5:00:00;0;1.9;0;46;88;136;6.3;13.8;1006
21/03/2015;6:00:00;0;1.9;0;53;83;154;2.9;14.0;1006
21/03/2015;7:00:00;0;1.9;0;55;78;213;1.8;13.8;1007
21/03/2015;8:00:00;0;1.4;0;55;75;202;1.8;13.8;1008
21/03/2015;9:00:00;0;1.3;2;51;75;172;2.9;14.3;1008
21/03/2015;10:00:00;0;0.9;0;51;83;150;3.8;14.8;1009
21/03/2015;11:00:00;0;0.8;0;64;85;133;2.7;16.1;1009
21/03/2015;12:00:00;0;0.5;0;57;90;136;2.5;17.1;1009
21/03/2015;13:00:00;0;0.0;0;57;84;114;1.7;19.2;1009
21/03/2015;14:00:00;0;0.0;0;56;85;113;1.6;20.3;1008
21/03/2015;15:00:00;0;0.0;0;61;85;114;1.1;21.0;1008
21/03/2015;16:00:00;0;0.0;0;61;88;114;1.9;21.0;1007
