Fecha;Hora;NO;NO2;O3;PM10;TMP;HR;PRB;LL
08/06/2015;17:00:00;2.2;4;129;31;26.4;60;1015;0.0
08/06/2015;18:00:00;2.5;4;131;23;25.9;61;1014;0.0
08/06/2015;19:00:00;1.6;2;131;32;24.9;69;1015;0.0
08/06/2015;20:00:00;1.6;2;121;31;24.1;75;1015;0.0
08/06/2015;21:00:00;55.3;43;79;36;23.4;78;1016;0.0
08/06/2015;22:00:00;1.9;6;71;25;22.6;79;1016;0.0
08/06/2015;23:00:00;1.8;5;64;36;22.0;80;1016;0.0
08/06/2015;0:00:00;1.7;4;56;27;22.0;81;1015;0.0
09/06/2015;1:00:00;2.1;4;80;30;22.3;85;1015;0.0
09/06/2015;2:00:00;1.4;7;55;28;21.5;86;1015;0.0
09/06/2015;3:00:00;1.5;2;47;25;20.9;87;1015;0.0
09/06/2015;4:00:00;2.7;5;45;28;20.5;88;1014;0.0
09/06/2015;5:00:00;5.3;9;39;21;20.5;89;1015;0.0
09/06/2015;6:00:00;59.8;43;56;32;22.5;89;1015;0.0
09/06/2015;7:00:00;9.4;16;103;34;23.7;85;1015;0.0
09/06/2015;8:00:00;15.5;22;111;33;24.5;75;1015;0.0
09/06/2015;9:00:00;3.8;6;124;25;24.8;68;1015;0.0
09/06/2015;10:00:00;12.9;15;122;25;25.3;66;1015;0.0
09/06/2015;11:00:00;2.6;5;126;20;26.0;62;1015;0.0
09/06/2015;12:00:00;2.2;4;133;14;26.6;57;1014;0.0
09/06/2015;13:00:00;2.4;4;135;21;26.5;58;1015;0.0
09/06/2015;14:00:00;2.2;4;135;23;26.6;63;1014;0.0
09/06/2015;15:00:00;1.7;5;134;22;26.3;67;1014;0.0
09/06/2015;16:00:00;1.8;3;131;19;26.7;62;1013;0.0
09/06/2015;17:00:00;2.2;4;127;23;26.4;62;1013;0.0
09/06/2015;18:00:00;1.6;4;129;22;25.5;69;1013;0.0
09/06/2015;19:00:00;1.4;3;128;27;24.9;73;1013;0.0
09/06/2015;20:00:00;1.6;3;112;34;24.1;76;1014;0.0
09/06/2015;21:00:00;1.6;2;104;32;23.3;77;1014;0.0
09/06/2015;22:00:00;1.3;2;105;33;22.9;80;1015;0.0
09/06/2015;23:00:00;1.4;3;89;29;22.6;81;1015;0.0
09/06/2015;0:00:00;1.4;3;68;24;21.8;81;1015;0.0
10/06/2015;1:00:00;1.5;3;59;29;21.6;82;1015;0.0
10/06/2015;2:00:00;1.2;2;44;34;21.0;84;1014;0.0
10/06/2015;3:00:00;1.3;2;54;32;21.3;86;1014;0.0
10/06/2015;4:00:00;1.7;5;52;32;21.3;87;1014;0.0
10/06/2015;5:00:00;5.4;7;33;26;20.7;88;1014;0.0
10/06/2015;6:00:00;4.0;9;60;40;21.9;89;1014;0.0
10/06/2015;7:00:00;7.9;12;92;37;23.5;86;1014;0.0
10/06/2015;8:00:00;3.4;4;105;34;24.9;75;1014;0.0
10/06/2015;9:00:00;2.8;3;113;30;25.8;71;1014;0.0
10/06/2015;10:00:00;6.2;9;107;31;26.9;61;1014;0.0
10/06/2015;11:00:00;3.8;6;111;19;27.8;57;1014;0.0
10/06/2015;12:00:00;2.3;5;114;19;28.0;55;1014;0.0
10/06/2015;13:00:00;6.1;12;109;34;28.6;50;1014;0.0
10/06/2015;14:00:00;2.4;3;111;39;28.8;45;1013;0.0
10/06/2015;15:00:00;3.4;5;104;34;28.9;44;1013;0.0
10/06/2015;16:00:00;2.7;3;105;23;28.6;43;1013;0.0
10/06/2015;17:00:00;1.9;1;106;29;27.6;50;1013;0.0
10/06/2015;18:00:00;1.9;2;105;33;26.8;53;1013;0.0
10/06/2015;19:00:00;1.8;1;104;37;25.8;55;1013;0.0
10/06/2015;20:00:00;1.4;1;98;24;24.5;64;1013;0.0
10/06/2015;21:00:00;1.6;1;97;30;24.1;67;1014;0.0
10/06/2015;22:00:00;1.5;1;102;39;23.9;66;1015;0.0
10/06/2015;23:00:00;1.4;1;103;20;23.8;67;1014;0.0
10/06/2015;0:00:00;1.5;1;102;34;23.6;66;1014;0.0
11/06/2015;1:00:00;1.3;0;102;31;23.3;71;1013;0.0
11/06/2015;2:00:00;1.4;0;104;26;23.0;77;1013;0.0
11/06/2015;3:00:00;1.2;0;104;32;23.0;79;1012;0.0
