Fecha;Hora;SO2;NO;NO2;dd;vv;TMP;O3
12/09/2015;12:00:00;0;1.1;6;108;2.1;28.2;107
12/09/2015;13:00:00;0;1.1;5;119;1.8;29.5;114
12/09/2015;14:00:00;0;1.3;8;173;1.3;30.5;112
12/09/2015;15:00:00;0;2.4;17;207;0.9;30.9;100
12/09/2015;16:00:00;0;1.7;11;214;0.9;28.9;99
12/09/2015;17:00:00;0;1.1;7;214;0.7;28.3;100
12/09/2015;18:00:00;0;1.1;7;214;0.7;27.3;99
12/09/2015;19:00:00;0;1.1;2;309;3.2;25.9;116
12/09/2015;20:00:00;0;1.1;3;136;1.4;25.4;110
12/09/2015;21:00:00;0;1.1;4;125;0.7;25.0;97
12/09/2015;22:00:00;0;1.1;10;95;0.3;24.7;82
12/09/2015;23:00:00;0;1.1;6;251;0.7;23.8;70
12/09/2015;0:00:00;0;1.1;13;195;1.3;23.4;60
13/09/2015;1:00:00;0;1.1;7;304;1.5;23.2;66
13/09/2015;2:00:00;0;1.1;5;349;0.6;23.3;67
13/09/2015;3:00:00;0;1.3;5;347;0.7;22.7;52
13/09/2015;4:00:00;0;1.1;3;319;0.9;21.8;49
13/09/2015;5:00:00;0;1.1;2;293;0.9;21.2;48
13/09/2015;6:00:00;0;1.1;3;291;0.9;21.0;38
13/09/2015;7:00:00;0;29.5;18;291;0.9;20.9;31
13/09/2015;8:00:00;0;14.2;22;291;0.6;22.0;30
13/09/2015;9:00:00;0;1.2;5;139;0.4;24.0;47
13/09/2015;10:00:00;0;1.4;7;45;0.1;27.6;72
13/09/2015;11:00:00;0;2.2;12;191;0.4;29.2;78
13/09/2015;12:00:00;0;2.8;14;219;2.0;28.1;77
13/09/2015;13:00:00;0;1.1;4;237;2.2;28.7;92
13/09/2015;14:00:00;0;1.1;2;238;1.4;28.9;94
13/09/2015;15:00:00;0;1.1;2;220;1.6;29.7;100
13/09/2015;16:00:00;0;1.1;2;221;1.6;29.6;104
13/09/2015;17:00:00;0;1.1;2;225;1.8;28.5;115
13/09/2015;18:00:00;0;1.1;2;213;1.0;27.9;118
13/09/2015;19:00:00;0;1.1;2;210;0.7;27.2;116
13/09/2015;20:00:00;0;1.1;5;209;0.4;25.3;110
13/09/2015;21:00:00;0;1.1;5;185;0.3;24.4;99
13/09/2015;22:00:00;0;1.1;5;210;0.1;24.0;88
13/09/2015;23:00:00;0;1.1;5;214;0.1;23.5;81
13/09/2015;0:00:00;0;1.1;3;214;0.1;23.2;88
14/09/2015;1:00:00;0;1.1;3;178;0.3;23.1;80
14/09/2015;2:00:00;0;1.1;4;126;0.4;22.9;74
14/09/2015;3:00:00;0;1.2;3;59;0.2;22.8;74
14/09/2015;4:00:00;0;1.1;3;60;0.3;22.6;79
14/09/2015;5:00:00;0;1.1;3;77;0.4;22.4;73
14/09/2015;6:00:00;0;1.2;3;330;1.4;23.2;68
14/09/2015;7:00:00;0;1.1;3;300;3.3;25.0;76
