Fecha;BEN;NO;NO2;NOX;O3;PM10;SH2;SO2;TOL;dd;HR;PRB;RS;TMP;vv
16/01/2015;0.88;1;8;7;83;8;;5;0.53;243;73;1009.1;41.5;8.9;1.5
15/01/2015;;;30;;75;22;;;;183;60;1005.5;15.1;14.1;6.7
14/01/2015;3.55;4;24;16;72;14;5;7;2.18;186;58;1018.4;81.9;12.6;4.8
13/01/2015;2.18;4;20;16;66;18;6;7;2.77;183;54;1016.9;44;14;6.7
12/01/2015;3.68;4;33;21;64;11;5;7;3.41;179;50;1023.7;88.4;13.1;5.9
11/01/2015;0.78;2;49;14;80;24;4;4;1.2;269;79;1031;31.1;11.9;0.3
10/01/2015;1.08;3;27;21;45;26;4;7;2.05;251;88;1031.3;40.8;11;0.9
09/01/2015;2.78;10;54;41;41;34;4;7;6.21;201;72;1037.7;80.6;12.3;0.6
08/01/2015;1.18;4;40;25;42;16;5;6;9.7;223;68;1033.9;49.1;11.3;1.3
07/01/2015;1.03;5;38;26;44;21;6;7;5.93;220;78;1027.5;77.8;9.9;1.9
06/01/2015;1.08;2;23;15;33;21;6;8;1.12;237;79;1024.4;19;10.2;1.5
05/01/2015;1.22;9;53;37;40;17;4;9;2.05;204;76;1024.3;82.4;10;1
04/01/2015;1.8;3;42;19;37;22;4;6;2.73;240;80;1032.3;31.5;12.1;1.3
03/01/2015;1.02;2;24;15;50;18;4;7;1.12;240;70;1033.5;71.3;10.4;1.9
02/01/2015;0.93;5;57;25;44;17;4;8;1.13;242;64;1034.6;68;9;2.8
01/01/2015;1.21;3;31;16;49;15;5;7;1.68;231;63;1032.3;81.3;8;3
