Fecha;NO;NO2;O3;PM10;SO2
29/09/2015;1;4;42;;1
30/09/2015;1;4;45;;1
01/10/2015;1;5;54;;1
02/10/2015;1;5;61;;1
03/10/2015;1;6;44;;1
04/10/2015;1;3;42;;1
05/10/2015;1;2;56;;2
06/10/2015;1;3;53;;2
07/10/2015;1;3;49;;1
08/10/2015;1;3;34;;1
09/10/2015;1;5;34;;3
10/10/2015;1;4;56;;2
11/10/2015;1;4;47;;1
12/10/2015;1;4;39;;1
13/10/2015;1;3;64;;1
14/10/2015;1;3;61;;1
15/10/2015;1;3;39;;1
16/10/2015;1;6;33;;1
17/10/2015;1;4;44;;1
18/10/2015;1;3;47;;1
19/10/2015;1;5;32;;1
20/10/2015;1;2;72;;2
21/10/2015;1;2;67;;3
22/10/2015;1;3;43;;2
23/10/2015;1;4;24;;1
24/10/2015;1;4;56;;1
25/10/2015;1;3;55;;1
26/10/2015;1;3;74;;1
27/10/2015;1;2;78;;1
28/10/2015;1;3;70;;2
29/10/2015;1;1;57;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
30/10/2015;1;1;68;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
31/10/2015;1;1;62;;1
01/11/2015;1;1;52;;1
02/11/2015;1;1;80;;1
03/11/2015;1;1;67;;2
04/11/2015;1;1;63;;2
05/11/2015;;;;;
