Nombre;Longitud;Latitud;Fecha;SO2;NO;PM10;PM25;CO;O3;BEN
Avenida Argentina;-5.69611;43.54111;2015-10-17 0:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 23:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 22:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 21:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 20:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 19:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 18:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 17:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 16:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 15:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 14:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 13:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 12:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 11:00;4. BAJO;1. MUY ALTO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-16 10:00;3. MEDIO;1. MUY ALTO;2. ALTO;;4. BAJO;5. MUY BAJO;
Avenida Castilla;-5.65;43.54167;2015-10-20 8:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;4. BAJO;4. BAJO;
Avenida Castilla;-5.65;43.54167;2015-10-20 7:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;4. BAJO;4. BAJO;
Avenida Castilla;-5.65;43.54167;2015-10-20 6:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;4. BAJO;4. BAJO;
Avenida Castilla;-5.65;43.54167;2015-10-20 5:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;4. BAJO;4. BAJO;
Avenida Castilla;-5.65;43.54167;2015-10-20 4:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;4. BAJO;3. MEDIO;
Avenida Castilla;-5.65;43.54167;2015-10-20 3:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;3. MEDIO;
